[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/123123/filename_2.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/55555/54540/filename.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/55555/54540/filename_1.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/55555/54540/filename_2.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/55555/filename.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/55555/filename_1.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/55555/filename_2.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/filename.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/filename_1.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/files/update/filename_2.txt
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/001.jpg
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/404.png
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/4041.png
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/add.png
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/btnbg.png
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/btnbg1.png
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/btnbg2.png
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/buttonbg.png
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/c01.png
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/c02.png
[2019-07-25 04:47:19] Success : Copy a update file  D:/phpStudy/PHPTutorial/WWW/approach_test/Application/test_aaa/images/c03.png
